"分类","总数","命中","部分命中","未命中","严格命中率","调整后命中率","严格加权命中率","调整后加权命中率"
"港股全量已复盘","46","13","21","12","28.3%","51.1%","28.2%","50.9%"
"港股待复盘","0","0","0","0","0.0%","0.0%","0.0%","0.0%"
"稳健观察","16","3","10","3","18.8%","50.0%","18.8%","50.0%"
"核心承接","2","1","0","1","50.0%","50.0%","50.0%","50.0%"
"条件观察","10","2","5","3","20.0%","45.0%","20.0%","45.0%"
"弹性观察","6","3","1","2","50.0%","58.3%","50.0%","58.3%"
"非规则观察","12","4","5","3","33.3%","54.2%","33.3%","54.2%"
"其他","0","0","0","0","0.0%","0.0%","0.0%","0.0%"
"2026/6/15","5","2","1","2","40.0%","50.0%","46.9%","55.1%"
"2026/6/16","2","1","0","1","50.0%","50.0%","34.8%","34.8%"
"2026/6/17","1","1","0","0","100.0%","100.0%","100.0%","100.0%"
"2026/6/18","1","1","0","0","100.0%","100.0%","100.0%","100.0%"
"2026/6/22","2","0","0","2","0.0%","0.0%","0.0%","0.0%"
"2026/7/9","8","2","6","0","25.0%","62.5%","25.0%","62.5%"
"2026/7/10","8","2","2","4","25.0%","37.5%","25.0%","37.5%"
"2026/7/13","8","2","3","3","25.0%","43.8%","25.0%","43.8%"
"2026/7/14","6","0","6","0","0.0%","50.0%","0.0%","50.0%"
"2026/7/15","5","2","3","0","40.0%","70.0%","40.0%","70.0%"
